date,price
2021.04.12,26900
2021.04.09,25350
2021.04.08,24950
2021.04.07,22500
2021.04.06,22500
2021.04.05,22100
2021.04.02,22150
2021.04.01,22050
2021.03.31,20450
2021.03.30,19600
2021.03.29,19500
2021.03.26,19400
2021.03.25,19500
2021.03.24,20000
2021.03.23,19950
2021.03.22,20200
2021.03.19,20250
2021.03.18,19450
2021.03.17,20100
2021.03.16,19750
2021.03.15,18950
2021.03.12,18700
2021.03.11,18300
2021.03.10,17600
2021.03.09,17550
2021.03.08,17850
2021.03.05,18850
2021.03.04,19600
2021.03.03,19550
2021.03.02,19850
2021.02.26,18500
2021.02.25,18000
2021.02.24,17700
2021.02.23,18000
2021.02.22,18150
2021.02.19,19050
2021.02.18,17300
2021.02.17,17950
2021.02.16,18900
2021.02.15,19700
2021.02.10,19550
2021.02.09,19350
2021.02.08,19850
2021.02.05,20300
2021.02.04,20050
2021.02.03,20750
2021.02.02,21350
2021.02.01,19750
2021.01.29,19000
2021.01.28,20000
2021.01.27,22050
2021.01.26,22000
2021.01.25,21400
2021.01.22,21150
2021.01.21,22650
2021.01.20,26200
2021.01.19,24950
2021.01.18,24100
2021.01.15,23650
2021.01.14,23100
2021.01.13,23250
2021.01.12,23300
2021.01.11,22200
2021.01.08,22200
2021.01.07,24000
2021.01.06,23400
2021.01.05,23250
2021.01.04,22350
2020.12.30,21300
2020.12.29,19350
2020.12.28,17850
2020.12.24,18800
2020.12.23,20200
2020.12.22,19000
2020.12.21,19550
2020.12.18,18500
2020.12.17,18050
2020.12.16,18150
2020.12.15,19350
2020.12.14,21050
2020.12.11,21100
2020.12.10,20700
2020.12.09,20750
2020.12.08,20250
2020.12.07,22150
2020.12.04,21600
2020.12.03,21500
2020.12.02,21000
2020.12.01,21250
2020.11.30,20450
2020.11.27,19850
2020.11.26,19450
2020.11.25,20200
2020.11.24,17950
2020.11.23,18300
2020.11.20,17450
2020.11.19,16900
2020.11.18,15950
2020.11.17,15750
2020.11.16,16600
2020.11.13,16250
2020.11.12,16000
2020.11.11,16450
2020.11.10,16800
2020.11.09,18500
2020.11.06,18400
2020.11.05,18900
2020.11.04,18050
2020.11.03,18100
2020.11.02,17100
2020.10.30,17600
2020.10.29,18350
2020.10.28,18450
2020.10.27,17000
2020.10.26,16300
2020.10.23,17750
2020.10.22,17150
2020.10.21,18000
2020.10.20,17600
2020.10.19,18050
2020.10.16,18350
2020.10.15,18100
2020.10.14,18700
2020.10.13,19150
2020.10.12,21450
2020.10.08,21850
2020.10.07,21750
2020.10.06,21800
2020.10.05,22000
2020.09.29,20750
2020.09.28,20150
2020.09.25,20200
2020.09.24,20750
2020.09.23,23050
2020.09.22,24900
2020.09.21,26550
2020.09.18,23700
2020.09.17,23200
2020.09.16,23800
2020.09.15,24750
2020.09.14,23400
2020.09.11,23600
2020.09.10,24200
2020.09.09,24100
2020.09.08,24000
2020.09.07,26850
2020.09.04,26250
2020.09.03,25500
2020.09.02,23750
2020.09.01,22300
2020.08.31,22150
2020.08.28,23550
2020.08.27,24500
2020.08.26,23350
2020.08.25,25450
2020.08.24,25200
2020.08.21,23400
2020.08.20,25800
2020.08.19,25600
2020.08.18,22750
2020.08.14,17500
2020.08.13,21200
2020.08.12,22000
2020.08.11,23100
2020.08.10,29500
2020.08.07,30950
2020.08.06,30950
2020.08.05,29550
2020.08.04,29550
2020.08.03,27150
2020.07.31,20900
2020.07.30,19800
2020.07.29,18900
2020.07.28,17450
2020.07.27,17150
2020.07.24,15950
2020.07.23,13700
2020.07.22,11500
2020.07.21,8870
2020.07.20,8040
2020.07.17,8030
2020.07.16,7880
2020.07.15,7880
2020.07.14,8050
2020.07.13,7940
2020.07.10,7940
2020.07.09,7610
2020.07.08,7770
2020.07.07,7750
2020.07.06,7950
